ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler
157.55.39.eih,2017-6-30,0:00:00,0,84748,0000084748-09-000026,xslF345X03/primary_doc.xml,200,3815,0,0,0,10,0
158.132.91.haf,2017-6-30,0:00:00,0,1521342,0001127602-16-047493,.txt,200,2357,0,0,0,10,0
158.132.91.haf,2017-6-30,0:00:00,0,1521342,0001127602-16-047493,.txt,301,645,0,0,0,10,0
162.249.57.hhg,2017-6-30,0:00:00,0,1034462,0001181431-14-026967,.txt,200,5998,0,0,0,10,0
162.249.57.hhg,2017-6-30,0:00:00,0,1034462,0001181431-14-025941,.txt,200,5902,0,0,0,10,0
162.27.66.bbb,2017-6-30,0:00:00,0,1615165,0001193125-17-084011,#NAME?,200,2623,1,0,0,1,0
163.117.2.gai,2017-6-30,0:00:00,0,1095330,0001140361-08-006920,.txt,200,3048752,0,0,0,10,0
163.172.71.jda,2017-6-30,0:00:00,0,785186,0001179110-06-013044,#NAME?,301,291,1,0,1,10,0
163.172.71.jda,2017-6-30,0:00:00,0,785186,0001179110-06-013044,#NAME?,301,688,1,0,0,10,0
163.172.71.jda,2017-6-30,0:00:00,0,785186,0001179110-06-013044,#NAME?,200,2778,1,0,0,10,0
165.124.130.igj,2017-6-30,0:00:00,0,1205948,0000009389-04-000014,.txt,200,10875,0,0,0,10,0
165.124.130.igj,2017-6-30,0:00:00,0,1134780,0001012870-01-500021,.txt,200,22185,0,0,0,10,0
165.124.130.igj,2017-6-30,0:00:00,0,754737,0001225208-07-003180,.txt,200,7692,0,0,0,10,0
165.124.130.igj,2017-6-30,0:00:00,0,1206628,0001091818-04-000076,.txt,200,10728,0,0,0,10,0
165.124.130.igj,2017-6-30,0:00:00,0,860857,0000860857-01-500004,.txt,200,11112,0,0,0,10,0
165.124.130.igj,2017-6-30,0:00:00,0,893738,0000893738-01-500002,.txt,200,10873,0,0,0,10,0
165.124.130.igj,2017-6-30,0:00:00,0,754737,0001225208-07-002884,.txt,200,8226,0,0,0,10,0
165.124.130.igj,2017-6-30,0:00:00,0,754737,0001225208-07-003181,.txt,200,8233,0,0,0,10,0
165.124.130.igj,2017-6-30,0:00:00,0,1021848,0000899681-01-000008,.txt,200,2682134,0,0,0,10,0
165.124.130.igj,2017-6-30,0:00:00,0,1101396,0001044197-01-000022,.txt,200,11116,0,0,0,10,0
165.124.130.igj,2017-6-30,0:00:00,0,754737,0001225208-07-002883,.txt,200,7689,0,0,0,10,0
165.124.130.jdj,2017-6-30,0:00:00,0,1171486,0000950129-02-004761,.txt,200,7270,0,0,0,10,0
165.124.130.jdj,2017-6-30,0:00:00,0,1194790,0000101830-05-000041,.txt,200,5872,0,0,0,10,0
165.124.130.jdj,2017-6-30,0:00:00,0,1177929,9999999997-02-041556,.txt,200,1875,0,0,0,10,0
165.124.130.jdj,2017-6-30,0:00:00,0,1177929,9999999997-02-050668,.txt,200,1875,0,0,0,10,0
165.124.130.jdj,2017-6-30,0:00:00,0,1019531,0001019531-05-000002,.txt,200,13518,0,0,0,10,0
165.124.130.jdj,2017-6-30,0:00:00,0,1140378,9999999997-02-041105,.txt,200,1937,0,0,0,10,0
165.124.130.jdj,2017-6-30,0:00:00,0,1007660,0001193125-05-008844,.txt,200,93703,0,0,0,10,0
165.124.130.jdj,2017-6-30,0:00:00,0,1164034,0001181431-05-009290,.txt,200,5664,0,0,0,10,0
165.124.130.jhd,2017-6-30,0:00:00,0,1016395,0000950147-03-000475,.txt,200,5731,0,0,0,10,0
165.124.130.jhd,2017-6-30,0:00:00,0,882835,0001209191-06-014524,.txt,200,11505,0,0,0,10,0
165.124.130.jhd,2017-6-30,0:00:00,0,889409,0000950128-00-000105,.txt,200,13655,0,0,0,10,0
165.124.130.jhd,2017-6-30,0:00:00,0,1143548,0001077048-03-000078,.txt,200,110156,0,0,0,10,0
165.124.130.jhd,2017-6-30,0:00:00,0,882835,0001209191-06-014527,.txt,200,9455,0,0,0,10,0
165.124.130.jhd,2017-6-30,0:00:00,0,889409,0000889409-00-000002,.txt,200,80295,0,0,0,10,0
165.124.130.jhd,2017-6-30,0:00:00,0,1016395,0000950147-03-000465,.txt,200,18001,0,0,0,10,0
165.124.130.jhd,2017-6-30,0:00:00,0,882835,0001209191-06-014532,.txt,200,6361,0,0,0,10,0
165.124.130.jhd,2017-6-30,0:00:00,0,889409,0000354204-00-000465,.txt,200,7929,0,0,0,10,0
165.124.130.jhd,2017-6-30,0:00:00,0,1016395,9999999997-03-018159,.txt,200,2310,0,0,0,10,0
165.124.130.jhd,2017-6-30,0:00:00,0,804979,0000804979-00-000002,.txt,200,54998,0,0,0,10,0
165.124.130.jhd,2017-6-30,0:00:00,0,1009866,0000949308-00-000020,.txt,200,8607,0,0,0,10,0
165.124.130.jhd,2017-6-30,0:00:00,0,882835,0001209191-06-014538,.txt,200,28282,0,0,0,10,0
18.85.22.afh,2017-6-30,0:00:00,0,1267813,0001047469-14-006599,#NAME?,200,2854,1,0,0,10,0
185.25.32.fdh,2017-6-30,0:00:00,0,1105184,0001209191-12-033035,xslF345X03/c29042_4x0.xml,301,685,0,0,0,10,0
185.25.32.fgi,2017-6-30,0:00:00,0,879407,0001181431-14-006089,xslF345X01/rrd402026.xml,200,17644,0,0,0,10,0
188.163.72.idh,2017-6-30,0:00:00,0,1028394,0000926274-05-000126,#NAME?,200,2736,1,0,0,1,0
188.163.72.idh,2017-6-30,0:00:00,0,1028394,0000926274-05-000131,#NAME?,200,2847,1,0,0,1,0
188.163.72.idh,2017-6-30,0:00:00,0,1028394,0000926274-04-000152,#NAME?,200,2793,1,0,0,1,0
188.163.72.idh,2017-6-30,0:00:00,0,1028426,0001000096-97-000418,.txt,200,44042,0,0,0,9,0
198.199.84.bfb,2017-6-30,0:00:00,0,1116463,0001209784-17-000052,edgar.xml,301,649,0,0,0,10,0
198.199.84.bfb,2017-6-30,0:00:00,0,1295391,0001209784-17-000052,#NAME?,301,678,1,0,0,10,0
198.199.84.bfb,2017-6-30,0:00:00,0,1295391,0001209784-17-000052,#NAME?,200,7522,1,0,0,10,0
207.241.231.iah,2017-6-30,0:00:00,0,1025707,0001144204-08-047255,.txt,301,644,0,0,0,10,0
209.249.4.gjc,2017-6-30,0:00:00,0,1073349,0001193125-13-351488,.txt,200,1539080,0,0,0,10,0
216.244.66.bbi,2017-6-30,0:00:00,0,91388,0000091388-15-000053,sfd-20150927_pre.xml,301,668,0,0,0,10,0
216.244.66.bbi,2017-6-30,0:00:00,0,1210245,0001209191-16-154403,xslF345X03/doc4.xml,301,674,0,0,0,10,0
216.244.66.bbi,2017-6-30,0:00:00,0,1355128,0001193125-13-399962,ocz-20130831_lab.xml,301,677,0,0,0,10,0
